transaction_id,date,category,product,price,quantity
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-03-12,Electronics,Smartwatch,121.22,2
23b8c1e9-3924-46de-beb1-3b9046685257,2024-12-02,Electronics,Headphones,338.04,3
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2024-04-17,Clothing,Shirt,9.71,7
972a8469-1641-4f82-8b9d-2434e465e150,2024-06-29,Books,Comics,377.14,10
17fc695a-07a0-4a6e-8822-e8f36c031199,2024-10-09,Books,Fiction,334.33,5
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2024-08-16,Books,Fiction,52.94,5
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,2024-09-18,Electronics,Smartwatch,396.93,9
6b65a6a4-8b81-48f6-b38a-088ca65ed389,2023-01-27,Toys,Puzzle,303.48,7
47378190-96da-4dac-b2ff-5d2a386ecbe0,2023-09-25,Electronics,Tablet,466.4,10
c241330b-01a9-471f-9e8a-774bcf36d58b,2023-02-23,Toys,Puzzle,379.67,6
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2023-11-19,Home,Chair,217.58,10
371ecd7b-27cd-4130-8722-9389571aa876,2024-04-08,Electronics,Tablet,342.52,5
1a2a73ed-562b-4f79-8374-59eef50bea63,2024-07-27,Electronics,Tablet,499.73,7
5be6128e-18c2-4797-a142-ea7d17be3111,2024-04-19,Electronics,Laptop,470.79,4
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2024-12-21,Books,Biography,192.33,7
759cde66-bacf-43d0-8b1f-9163ce9ff57f,2023-03-03,Books,Fiction,487.78,9
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2024-11-19,Toys,Doll,404.1,9
4b0dbb41-8d52-48f1-942c-3fe860e7a113,2024-03-03,Toys,Action Figure,231.18,8
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2024-01-06,Electronics,Headphones,363.98,3
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,2023-04-10,Toys,Board Game,17.71,6
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2023-07-29,Books,Fiction,435.16,9
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-07-14,Toys,Doll,475.78,9
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2023-02-01,Home,Vacuum,187.37,8
7412b293-4729-4739-a14f-f3d719db3ad0,2023-03-21,Books,Science,344.66,5
29a3b2e9-5d65-4441-9588-42dea2bc372f,2023-01-27,Home,Lamp,259.88,5
ab9099a4-35a2-40ae-9af3-05535ec42e08,2024-01-20,Toys,Board Game,6.55,10
aefcfad8-efc8-4849-b3aa-7efe4458a885,2024-01-29,Clothing,Jacket,13.23,6
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2023-06-23,Electronics,Tablet,437.35,7
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2024-05-19,Books,Comics,340.58,3
451b4cf3-6123-4df7-b656-af7229d4beef,2023-09-29,Home,Vacuum,305.35,2
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2023-12-01,Clothing,Shoes,370.91,4
5304317f-af42-412f-b838-b3268e944239,2024-01-05,Clothing,Shirt,177.43,8
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2023-08-23,Books,Biography,493.5,3
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-08-29,Books,Fiction,368.47,2
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-21,Clothing,Jacket,305.55,4
9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-11-10,Electronics,Laptop,435.58,9
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2023-06-25,Electronics,Smartwatch,393.51,7
e27a984d-6548-41d0-bfcd-9eb1a7cad415,2023-01-16,Home,Chair,20.71,6
24933b83-7577-40a9-a491-f0b2ea1fca65,2024-12-23,Electronics,Headphones,399.43,9
beb79919-3f22-4af8-a3be-d01d43cf2fde,2023-02-11,Clothing,Jacket,417.02,10
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,2023-01-20,Clothing,Hat,493.67,1
956269f0-e5d7-4875-adad-d6c795a76d79,2024-08-22,Toys,Puzzle,88.19,3
ff50bde4-3825-47b8-9cab-cc97663f1c97,2024-08-29,Clothing,Shoes,477.75,7
7e570ddf-8270-40a8-a369-b584ff5e9ff0,2024-09-21,Electronics,Headphones,333.01,1
dc713d96-0c0f-4195-817a-f08a1745d6d8,2023-06-01,Home,Vacuum,125.46,2
28f49481-a0a0-4dc4-a720-9bdf1c11f735,2024-02-18,Toys,Board Game,377.86,3
98ae4334-6c12-4ce8-ae34-0454cac5b68c,2024-04-16,Electronics,Smartphone,57.21,8
988c24c9-61b1-4d22-a280-1c4510435a10,2024-10-29,Home,Blender,84.32,10
405cacec-8774-49a9-b7d2-1e02ff01cf99,2023-10-21,Electronics,Tablet,451.81,7
f143262f-dc5c-4eed-8da0-365bf89897b9,2024-06-12,Toys,Doll,114.09,2
1d53434b-b881-49b9-ae27-0da702f06b90,2024-06-13,Clothing,Jacket,334.64,2
c0398710-8976-4334-a281-7efdae849217,2024-07-26,Toys,Action Figure,334.41,5
5715bd6f-a416-4293-84c2-e2e3444ea7c8,2023-01-14,Clothing,Hat,318.61,4
287d06ca-6f4c-469a-8b22-d3081c8eaee9,2024-03-04,Toys,Puzzle,49.77,6
b8db0672-f42d-47cc-80d4-af5974273ca3,2024-01-09,Books,Comics,436.61,2
f8cda88b-436d-46e2-b83c-fe0be037e5ed,2023-02-09,Electronics,Smartwatch,384.34,10
81f76d1c-2dbc-4134-830f-f46e8026695f,2023-10-27,Electronics,Smartwatch,37.01,1
